id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4124,2026-07-19T23:00:00Z,Health Bill,Title: Health Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.9
2852,2021-05-04T23:00:00Z,NHS Pay Award (Report) Bill,Title: NHS Pay Award (Report) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.45,14.99
2549,2021-05-04T23:00:00Z,Schools (Mental Health and Wellbeing) Bill [HL],Title: Schools (Mental Health and Wellbeing) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,15.03
2565,2021-05-04T23:00:00Z,Video Gaming Health and Wellbeing Strategy Bill [HL],Title: Video Gaming Health and Wellbeing Strategy Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,17.28
2652,2021-05-03T23:00:00Z,Healthcare (Local Accountability) Bill,Title: Healthcare (Local Accountability) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,19.37
2700,2021-03-04T00:00:00Z,Medicines and Medical Devices Act 2021,Title: Medicines and Medical Devices Act 2021 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.42
2544,2020-03-17T00:00:00Z,NHS Funding Act 2020,Title: NHS Funding Act 2020 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.65
2466,2019-11-08T00:00:00Z,Health Service Safety Investigations Bill [HL],Title: Health Service Safety Investigations Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,17.42
2178,2019-09-18T23:00:00Z,Hospital Car Parking Charges (Abolition) Bill,Title: Hospital Car Parking Charges (Abolition) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.11
2222,2019-09-18T23:00:00Z,Local Health Scrutiny Bill,Title: Local Health Scrutiny Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.2,16.22
2193,2019-09-18T23:00:00Z,Pension Benefits (Ill Health) Bill,Title: Pension Benefits (Ill Health) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,15.73
2003,2019-09-11T23:00:00Z,Conscientious Objection (Medical Activities) Bill [HL],Title: Conscientious Objection (Medical Activities) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,20.19
2422,2019-06-11T23:00:00Z,United Kingdom Atomic Energy Authority Pension Transfers (Parliamentary and Health Service Ombudsman Investigation) Bill,Title: United Kingdom Atomic Energy Authority Pension Transfers (Parliamentary and Health Service Ombudsman Investigation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,23.9
2282,2019-03-29T00:00:00Z,National Health Service Bill,Title: National Health Service Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.22
2305,2019-03-27T00:00:00Z,Healthcare (European Economic Area and Switzerland Arrangements) Act 2019,Title: Healthcare (European Economic Area and Switzerland Arrangements) Act 2019 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,20.53
2312,2019-03-22T00:00:00Z,European Union Withdrawal (Evaluation of Effects on Health and Social Care Sectors) Bill,Title: European Union Withdrawal (Evaluation of Effects on Health and Social Care Sectors) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,19.34
2241,2019-03-22T00:00:00Z,Health Impacts (Public Sector Duty) Bill,Title: Health Impacts (Public Sector Duty) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.03
2133,2019-03-22T00:00:00Z,Hospital (Parking Charges and Business Rates) Bill,Title: Hospital (Parking Charges and Business Rates) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.34
2220,2019-03-22T00:00:00Z,Hospital Patients (Transport) Bill,Title: Hospital Patients (Transport) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.01
2367,2019-03-22T00:00:00Z,Postnatal Check-ups (Mental Health) Bill,Title: Postnatal Check-ups (Mental Health) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.33
2358,2019-03-21T00:00:00Z,National Health Service (Prohibition of Fax Machines and Pagers) Bill,Title: National Health Service (Prohibition of Fax Machines and Pagers) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,17.32
2343,2019-03-21T00:00:00Z,Smoking Prohibition (National Health Service Premises) Bill,Title: Smoking Prohibition (National Health Service Premises) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,18.96
2145,2019-01-21T00:00:00Z,Health and Social Care (National Data Guardian) Act 2018,Title: Health and Social Care (National Data Guardian) Act 2018 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.9,16.4
2059,2019-01-21T00:00:00Z,Mental Health Units (Use of Force) Act 2018,Title: Mental Health Units (Use of Force) Act 2018 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.2,14.18
