id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4243,2026-06-25T00:00:00Z,Planning Application Consultations (Mobile Network Operators) Bill,Title: Planning Application Consultations (Mobile Network Operators) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,20.93
4249,2026-06-25T00:00:00Z,Reciprocal Cross-Border Public Services Bill,Title: Reciprocal Cross-Border Public Services Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.11
4239,2026-06-25T00:00:00Z,Regulatory Impact Assessments Bill,Title: Regulatory Impact Assessments Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,19.37
4240,2026-06-25T00:00:00Z,Rule of Law (Enforcement by Public Authorities) Bill,Title: Rule of Law (Enforcement by Public Authorities) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,16.66
4248,2026-06-25T00:00:00Z,Rural Public Transport Bill,Title: Rural Public Transport Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.22
4241,2026-06-25T00:00:00Z,Vaccine Damage Payments Act 1979 (Review) Bill,Title: Vaccine Damage Payments Act 1979 (Review) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,15.69
4217,2026-06-24T00:00:00Z,Anonymity of Suspects Bill,Title: Anonymity of Suspects Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,17.79
4219,2026-06-24T00:00:00Z,Arm's-Length Bodies (Accountability to Parliament) Bill,Title: Arm's-Length Bodies (Accountability to Parliament) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,18.31
4218,2026-06-24T00:00:00Z,Arm's-Length Bodies (Review) Bill,Title: Arm's-Length Bodies (Review) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.99
4220,2026-06-24T00:00:00Z,Bailiffs (Warrants of Possession) Bill,Title: Bailiffs (Warrants of Possession) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.46
4221,2026-06-24T00:00:00Z,Bank of England (Inflation Targets) Bill,Title: Bank of England (Inflation Targets) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,16.03
4214,2026-06-24T00:00:00Z,Meat (Information About Method of Killing) Bill,Title: Meat (Information About Method of Killing) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.45,17
4215,2026-06-24T00:00:00Z,Public Sector Exit Payments (Limitation) Bill,Title: Public Sector Exit Payments (Limitation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,18.11
4213,2026-06-24T00:00:00Z,Vehicles (Registration) Bill,Title: Vehicles (Registration) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.53
3983,2026-06-23T00:00:00Z,British Indian Ocean Territory (Sovereignty and Constitutional Arrangements) Bill,Title: British Indian Ocean Territory (Sovereignty and Constitutional Arrangements) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,21.71
4193,2026-06-23T00:00:00Z,Chalk Streams (UNESCO Natural World Heritage Site) Bill,Title: Chalk Streams (UNESCO Natural World Heritage Site) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.4,16.66
4210,2026-06-23T00:00:00Z,Consumer Insurance (Disclosure and Representations) Bill,Title: Consumer Insurance (Disclosure and Representations) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,20.19
4199,2026-06-23T00:00:00Z,Debt Relief (Developing Countries) Bill,Title: Debt Relief (Developing Countries) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.2
4182,2026-06-23T00:00:00Z,Dementia (Specialist Support) Bill,Title: Dementia (Specialist Support) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.58
4197,2026-06-23T00:00:00Z,Domestic Building Works (Consumer Protection) Bill,Title: Domestic Building Works (Consumer Protection) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.7,18.11
4208,2026-06-23T00:00:00Z,Employment Bill,Title: Employment Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.71
4190,2026-06-23T00:00:00Z,Environmental Impact Assessment (Downstream Emissions) Bill,Title: Environmental Impact Assessment (Downstream Emissions) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,20.19
4184,2026-06-23T00:00:00Z,Gambling Act 2005 (Mandatory Conditions of Lottery Operating Licences) Bill,Title: Gambling Act 2005 (Mandatory Conditions of Lottery Operating Licences) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.05,20.7
4183,2026-06-23T00:00:00Z,Gaza (Independent Public Inquiry) Bill,Title: Gaza (Independent Public Inquiry) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.68
4195,2026-06-23T00:00:00Z,Heritage Trees Bill,Title: Heritage Trees Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
4180,2026-06-23T00:00:00Z,Mobile Homes Bill,Title: Mobile Homes Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.16
4202,2026-06-23T00:00:00Z,National Police Chiefs' Council (Guidance) Bill,Title: National Police Chiefs' Council (Guidance) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.45,16.72
4191,2026-06-23T00:00:00Z,Pets (Microchips) Bill,Title: Pets (Microchips) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
4189,2026-06-23T00:00:00Z,Public Sector Equality Duty (Repeal) Bill,Title: Public Sector Equality Duty (Repeal) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,18.11
